,Datum
355,2018-06-01
356,2018-06-04
357,2018-06-05
358,2018-06-06
359,2018-06-07
360,2018-06-08
361,2018-06-11
362,2018-06-12
363,2018-06-13
364,2018-06-14
365,2018-06-15
366,2018-06-18
367,2018-06-19
368,2018-06-20
369,2018-06-21
370,2018-06-22
371,2018-06-25
372,2018-06-26
373,2018-06-27
374,2018-06-28
375,2018-06-29
376,2018-07-02
377,2018-07-03
378,2018-07-04
379,2018-07-09
380,2018-07-10
381,2018-07-11
382,2018-07-12
383,2018-07-13
384,2018-07-16
385,2018-07-17
386,2018-07-18
387,2018-07-19
388,2018-07-20
389,2018-07-23
390,2018-07-24
391,2018-07-25
392,2018-07-26
393,2018-07-27
394,2018-07-30
395,2018-07-31
396,2018-08-01
397,2018-08-02
398,2018-08-03
399,2018-08-06
400,2018-08-07
401,2018-08-08
402,2018-08-09
403,2018-08-10
404,2018-08-13
405,2018-08-14
406,2018-08-15
407,2018-08-16
408,2018-08-17
409,2018-08-20
410,2018-08-21
411,2018-08-22
412,2018-08-23
413,2018-08-24
414,2018-08-27
415,2018-08-28
416,2018-08-29
417,2018-08-30
418,2018-08-31
419,2018-09-03
420,2018-09-04
421,2018-09-05
422,2018-09-06
423,2018-09-07
424,2018-09-10
425,2018-09-11
426,2018-09-12
427,2018-09-13
428,2018-09-14
429,2018-09-17
430,2018-09-18
431,2018-09-19
432,2018-09-20
433,2018-09-21
434,2018-09-24
435,2018-09-25
436,2018-09-26
437,2018-09-27
438,2018-10-01
439,2018-10-02
440,2018-10-03
441,2018-10-04
442,2018-10-05
443,2018-10-08
444,2018-10-09
445,2018-10-10
446,2018-10-11
447,2018-10-12
448,2018-10-15
449,2018-10-16
450,2018-10-17
451,2018-10-18
452,2018-10-19
453,2018-10-22
454,2018-10-23
455,2018-10-24
456,2018-10-25
457,2018-10-26
458,2018-10-29
459,2018-10-30
460,2018-10-31
461,2018-11-01
462,2018-11-02
463,2018-11-05
464,2018-11-06
465,2018-11-07
466,2018-11-08
467,2018-11-09
468,2018-11-12
469,2018-11-13
470,2018-11-14
471,2018-11-15
472,2018-11-16
473,2018-11-19
474,2018-11-20
475,2018-11-21
476,2018-11-22
477,2018-11-23
478,2018-11-26
479,2018-11-27
480,2018-11-28
481,2018-11-29
482,2018-11-30
483,2018-12-03
484,2018-12-04
485,2018-12-05
486,2018-12-06
487,2018-12-07
488,2018-12-10
489,2018-12-11
490,2018-12-12
491,2018-12-13
492,2018-12-14
493,2018-12-17
494,2018-12-18
495,2018-12-19
496,2018-12-20
497,2018-12-21
498,2018-12-27
499,2018-12-28
500,2018-12-31
501,2019-01-02
502,2019-01-03
503,2019-01-04
504,2019-01-07
505,2019-01-08
506,2019-01-09
507,2019-01-10
508,2019-01-11
509,2019-01-14
510,2019-01-15
511,2019-01-16
512,2019-01-17
513,2019-01-18
514,2019-01-21
515,2019-01-22
516,2019-01-23
517,2019-01-24
518,2019-01-25
519,2019-01-28
520,2019-01-29
521,2019-01-30
522,2019-01-31
523,2019-02-01
524,2019-02-04
525,2019-02-05
526,2019-02-06
527,2019-02-07
528,2019-02-08
529,2019-02-11
530,2019-02-12
531,2019-02-13
532,2019-02-14
533,2019-02-15
534,2019-02-18
535,2019-02-19
536,2019-02-20
537,2019-02-21
538,2019-02-22
539,2019-02-25
540,2019-02-26
541,2019-02-27
542,2019-02-28
543,2019-03-01
544,2019-03-04
545,2019-03-05
546,2019-03-06
547,2019-03-07
548,2019-03-08
549,2019-03-11
550,2019-03-12
551,2019-03-13
552,2019-03-14
553,2019-03-15
554,2019-03-18
555,2019-03-19
556,2019-03-20
557,2019-03-21
558,2019-03-22
559,2019-03-25
560,2019-03-26
561,2019-03-27
562,2019-03-28
563,2019-03-29
564,2019-04-01
565,2019-04-02
566,2019-04-03
567,2019-04-04
568,2019-04-05
569,2019-04-08
570,2019-04-09
571,2019-04-10
572,2019-04-11
573,2019-04-12
574,2019-04-15
575,2019-04-16
576,2019-04-17
577,2019-04-18
578,2019-04-23
579,2019-04-24
580,2019-04-25
581,2019-04-26
582,2019-04-29
583,2019-04-30
584,2019-05-02
585,2019-05-03
586,2019-05-06
587,2019-05-07
588,2019-05-09
589,2019-05-10
590,2019-05-13
591,2019-05-14
592,2019-05-15
593,2019-05-16
594,2019-05-17
595,2019-05-20
596,2019-05-21
597,2019-05-22
598,2019-05-23
599,2019-05-24
600,2019-05-27
601,2019-05-28
602,2019-05-29
603,2019-05-30
604,2019-05-31
605,2019-06-03
606,2019-06-04
607,2019-06-05
608,2019-06-06
609,2019-06-07
610,2019-06-10
611,2019-06-11
612,2019-06-12
613,2019-06-13
614,2019-06-14
615,2019-06-17
616,2019-06-18
617,2019-06-19
618,2019-06-20
619,2019-06-21
620,2019-06-24
621,2019-06-25
622,2019-06-26
623,2019-06-27
624,2019-06-28
625,2019-07-01
626,2019-07-02
627,2019-07-03
628,2019-07-04
629,2019-07-08
630,2019-07-09
631,2019-07-10
632,2019-07-11
633,2019-07-12
634,2019-07-15
635,2019-07-16
636,2019-07-17
637,2019-07-18
638,2019-07-19
639,2019-07-22
640,2019-07-23
641,2019-07-24
