,Datum
1496,2022-12-15
1497,2022-12-16
1498,2022-12-19
1499,2022-12-20
1500,2022-12-21
1501,2022-12-22
1502,2022-12-23
1503,2022-12-27
1504,2022-12-28
1505,2022-12-29
1506,2022-12-30
1507,2023-01-02
1508,2023-01-03
1509,2023-01-04
1510,2023-01-05
1511,2023-01-06
1512,2023-01-09
1513,2023-01-10
1514,2023-01-11
1515,2023-01-12
1516,2023-01-13
1517,2023-01-16
1518,2023-01-17
1519,2023-01-18
1520,2023-01-19
1521,2023-01-20
1522,2023-01-23
1523,2023-01-24
1524,2023-01-25
1525,2023-01-26
1526,2023-01-27
1527,2023-01-30
1528,2023-01-31
1529,2023-02-01
1530,2023-02-02
1531,2023-02-03
1532,2023-02-06
1533,2023-02-07
1534,2023-02-08
1535,2023-02-09
1536,2023-02-10
1537,2023-02-13
1538,2023-02-14
1539,2023-02-15
1540,2023-02-16
1541,2023-02-17
1542,2023-02-20
1543,2023-02-21
1544,2023-02-22
1545,2023-02-23
1546,2023-02-24
1547,2023-02-27
1548,2023-02-28
1549,2023-03-01
1550,2023-03-02
1551,2023-03-03
1552,2023-03-06
1553,2023-03-07
1554,2023-03-08
1555,2023-03-09
1556,2023-03-10
1557,2023-03-13
1558,2023-03-14
1559,2023-03-15
1560,2023-03-16
1561,2023-03-17
1562,2023-03-20
1563,2023-03-21
1564,2023-03-22
1565,2023-03-23
1566,2023-03-24
1567,2023-03-27
1568,2023-03-28
1569,2023-03-29
1570,2023-03-30
1571,2023-03-31
1572,2023-04-03
1573,2023-04-04
1574,2023-04-05
1575,2023-04-06
1576,2023-04-11
1577,2023-04-12
1578,2023-04-13
1579,2023-04-14
1580,2023-04-17
1581,2023-04-18
1582,2023-04-19
1583,2023-04-20
1584,2023-04-21
1585,2023-04-24
1586,2023-04-25
1587,2023-04-26
1588,2023-04-27
1589,2023-04-28
1590,2023-05-02
1591,2023-05-03
1592,2023-05-04
1593,2023-05-05
1594,2023-05-09
1595,2023-05-10
1596,2023-05-11
1597,2023-05-12
1598,2023-05-15
1599,2023-05-16
1600,2023-05-17
1601,2023-05-18
1602,2023-05-19
1603,2023-05-22
1604,2023-05-23
1605,2023-05-24
1606,2023-05-25
1607,2023-05-26
1608,2023-05-29
1609,2023-05-30
1610,2023-05-31
1611,2023-06-01
1612,2023-06-02
1613,2023-06-05
1614,2023-06-06
1615,2023-06-07
1616,2023-06-08
1617,2023-06-09
1618,2023-06-12
1619,2023-06-13
1620,2023-06-14
1621,2023-06-15
1622,2023-06-16
1623,2023-06-19
1624,2023-06-20
1625,2023-06-21
1626,2023-06-22
1627,2023-06-23
1628,2023-06-26
1629,2023-06-27
1630,2023-06-28
1631,2023-06-29
1632,2023-06-30
1633,2023-07-03
1634,2023-07-04
1635,2023-07-07
1636,2023-07-10
1637,2023-07-11
1638,2023-07-12
1639,2023-07-13
1640,2023-07-14
1641,2023-07-17
1642,2023-07-18
1643,2023-07-19
1644,2023-07-20
1645,2023-07-21
1646,2023-07-24
1647,2023-07-25
1648,2023-07-26
1649,2023-07-27
1650,2023-07-28
1651,2023-07-31
1652,2023-08-01
1653,2023-08-02
1654,2023-08-03
1655,2023-08-04
1656,2023-08-07
1657,2023-08-08
1658,2023-08-09
1659,2023-08-10
1660,2023-08-11
1661,2023-08-14
1662,2023-08-15
1663,2023-08-16
1664,2023-08-17
1665,2023-08-18
1666,2023-08-21
1667,2023-08-22
1668,2023-08-23
1669,2023-08-24
1670,2023-08-25
1671,2023-08-28
1672,2023-08-29
1673,2023-08-30
1674,2023-08-31
1675,2023-09-01
1676,2023-09-04
1677,2023-09-05
1678,2023-09-06
1679,2023-09-07
1680,2023-09-08
1681,2023-09-11
1682,2023-09-12
1683,2023-09-13
1684,2023-09-14
1685,2023-09-15
1686,2023-09-18
1687,2023-09-19
1688,2023-09-20
1689,2023-09-21
1690,2023-09-22
1691,2023-09-25
1692,2023-09-26
1693,2023-09-27
1694,2023-09-29
1695,2023-10-02
1696,2023-10-03
1697,2023-10-04
1698,2023-10-05
1699,2023-10-06
1700,2023-10-09
1701,2023-10-10
1702,2023-10-11
1703,2023-10-12
1704,2023-10-13
1705,2023-10-16
1706,2023-10-17
1707,2023-10-18
1708,2023-10-19
1709,2023-10-20
1710,2023-10-23
1711,2023-10-24
1712,2023-10-25
1713,2023-10-26
1714,2023-10-27
1715,2023-10-30
1716,2023-10-31
1717,2023-11-01
1718,2023-11-02
1719,2023-11-03
1720,2023-11-06
1721,2023-11-07
1722,2023-11-08
1723,2023-11-09
1724,2023-11-10
1725,2023-11-13
1726,2023-11-14
1727,2023-11-15
1728,2023-11-16
1729,2023-11-20
1730,2023-11-21
1731,2023-11-22
1732,2023-11-23
1733,2023-11-24
1734,2023-11-27
1735,2023-11-28
1736,2023-11-29
1737,2023-11-30
1738,2023-12-01
1739,2023-12-04
1740,2023-12-05
1741,2023-12-06
1742,2023-12-07
1743,2023-12-08
1744,2023-12-11
1745,2023-12-12
1746,2023-12-13
1747,2023-12-14
1748,2023-12-15
1749,2023-12-18
1750,2023-12-19
1751,2023-12-20
1752,2023-12-21
1753,2023-12-22
1754,2023-12-27
1755,2023-12-28
1756,2023-12-29
1757,2024-01-02
1758,2024-01-03
1759,2024-01-04
1760,2024-01-05
1761,2024-01-08
1762,2024-01-09
1763,2024-01-10
1764,2024-01-11
1765,2024-01-12
1766,2024-01-15
1767,2024-01-16
1768,2024-01-17
1769,2024-01-18
1770,2024-01-19
1771,2024-01-22
1772,2024-01-23
1773,2024-01-24
1774,2024-01-25
1775,2024-01-26
1776,2024-01-29
1777,2024-01-30
1778,2024-01-31
1779,2024-02-01
1780,2024-02-02
1781,2024-02-05
1782,2024-02-06
1783,2024-02-07
1784,2024-02-08
1785,2024-02-09
1786,2024-02-12
1787,2024-02-13
1788,2024-02-14
1789,2024-02-15
1790,2024-02-16
1791,2024-02-19
1792,2024-02-20
1793,2024-02-21
1794,2024-02-22
1795,2024-02-23
1796,2024-02-26
1797,2024-02-27
1798,2024-02-28
1799,2024-02-29
1800,2024-03-01
1801,2024-03-04
1802,2024-03-05
1803,2024-03-06
1804,2024-03-07
1805,2024-03-08
1806,2024-03-11
1807,2024-03-12
1808,2024-03-13
1809,2024-03-14
1810,2024-03-15
1811,2024-03-18
1812,2024-03-19
1813,2024-03-20
1814,2024-03-21
1815,2024-03-22
1816,2024-03-25
1817,2024-03-26
1818,2024-03-27
1819,2024-03-28
1820,2024-04-02
1821,2024-04-03
1822,2024-04-04
1823,2024-04-05
1824,2024-04-08
1825,2024-04-09
1826,2024-04-10
1827,2024-04-11
1828,2024-04-12
1829,2024-04-15
1830,2024-04-16
1831,2024-04-17
1832,2024-04-18
1833,2024-04-19
1834,2024-04-22
1835,2024-04-23
1836,2024-04-24
1837,2024-04-25
1838,2024-04-26
1839,2024-04-29
1840,2024-04-30
1841,2024-05-02
1842,2024-05-03
1843,2024-05-06
1844,2024-05-07
1845,2024-05-09
1846,2024-05-10
1847,2024-05-13
1848,2024-05-14
1849,2024-05-15
1850,2024-05-16
1851,2024-05-17
1852,2024-05-20
1853,2024-05-21
1854,2024-05-22
1855,2024-05-23
1856,2024-05-24
1857,2024-05-27
1858,2024-05-28
1859,2024-05-29
1860,2024-05-30
1861,2024-05-31
1862,2024-06-03
1863,2024-06-04
1864,2024-06-05
1865,2024-06-06
1866,2024-06-07
1867,2024-06-10
1868,2024-06-11
1869,2024-06-12
1870,2024-06-13
1871,2024-06-14
1872,2024-06-17
1873,2024-06-18
1874,2024-06-19
1875,2024-06-20
1876,2024-06-21
1877,2024-06-24
1878,2024-06-25
1879,2024-06-26
1880,2024-06-27
1881,2024-06-28
1882,2024-07-01
1883,2024-07-02
1884,2024-07-03
1885,2024-07-04
1886,2024-07-08
1887,2024-07-09
1888,2024-07-10
1889,2024-07-11
1890,2024-07-12
1891,2024-07-15
1892,2024-07-16
1893,2024-07-17
1894,2024-07-18
1895,2024-07-19
1896,2024-07-22
1897,2024-07-23
1898,2024-07-24
1899,2024-07-25
1900,2024-07-26
1901,2024-07-29
1902,2024-07-30
1903,2024-07-31
1904,2024-08-01
1905,2024-08-02
1906,2024-08-05
1907,2024-08-06
1908,2024-08-07
1909,2024-08-08
1910,2024-08-09
1911,2024-08-12
1912,2024-08-13
1913,2024-08-14
1914,2024-08-15
1915,2024-08-16
1916,2024-08-19
1917,2024-08-20
1918,2024-08-21
1919,2024-08-22
1920,2024-08-23
1921,2024-08-26
1922,2024-08-27
1923,2024-08-28
1924,2024-08-29
1925,2024-08-30
1926,2024-09-02
1927,2024-09-03
1928,2024-09-04
1929,2024-09-05
1930,2024-09-06
1931,2024-09-09
1932,2024-09-10
1933,2024-09-11
1934,2024-09-12
1935,2024-09-13
1936,2024-09-16
1937,2024-09-17
1938,2024-09-18
1939,2024-09-19
1940,2024-09-20
1941,2024-09-23
1942,2024-09-24
1943,2024-09-25
1944,2024-09-26
1945,2024-09-27
1946,2024-09-30
1947,2024-10-01
1948,2024-10-02
1949,2024-10-03
1950,2024-10-04
1951,2024-10-07
1952,2024-10-08
1953,2024-10-09
1954,2024-10-10
1955,2024-10-11
1956,2024-10-14
1957,2024-10-15
1958,2024-10-16
1959,2024-10-17
1960,2024-10-18
1961,2024-10-21
1962,2024-10-22
1963,2024-10-23
1964,2024-10-24
1965,2024-10-25
1966,2024-10-29
1967,2024-10-30
1968,2024-10-31
1969,2024-11-01
1970,2024-11-04
1971,2024-11-05
1972,2024-11-06
1973,2024-11-07
1974,2024-11-08
1975,2024-11-11
1976,2024-11-12
1977,2024-11-13
1978,2024-11-14
1979,2024-11-15
1980,2024-11-18
1981,2024-11-19
1982,2024-11-20
1983,2024-11-21
1984,2024-11-22
1985,2024-11-25
1986,2024-11-26
1987,2024-11-27
1988,2024-11-28
1989,2024-11-29
1990,2024-12-02
1991,2024-12-03
1992,2024-12-04
1993,2024-12-05
1994,2024-12-06
1995,2024-12-09
1996,2024-12-10
1997,2024-12-11
1998,2024-12-12
1999,2024-12-13
2000,2024-12-16
2001,2024-12-17
2002,2024-12-18
2003,2024-12-19
2004,2024-12-20
2005,2024-12-23
2006,2024-12-27
2007,2024-12-30
2008,2024-12-31
2009,2025-01-02
2010,2025-01-03
2011,2025-01-06
2012,2025-01-07
2013,2025-01-08
2014,2025-01-09
2015,2025-01-10
2016,2025-01-13
2017,2025-01-14
2018,2025-01-15
2019,2025-01-16
2020,2025-01-17
2021,2025-01-20
2022,2025-01-21
2023,2025-01-22
2024,2025-01-23
2025,2025-01-24
2026,2025-01-27
2027,2025-01-28
2028,2025-01-29
2029,2025-01-30
2030,2025-01-31
2031,2025-02-03
2032,2025-02-04
2033,2025-02-05
2034,2025-02-06
2035,2025-02-07
2036,2025-02-10
2037,2025-02-11
2038,2025-02-12
2039,2025-02-13
2040,2025-02-14
2041,2025-02-17
2042,2025-02-18
2043,2025-02-19
2044,2025-02-20
2045,2025-02-21
2046,2025-02-24
2047,2025-02-25
2048,2025-02-26
2049,2025-02-27
2050,2025-02-28
2051,2025-03-03
2052,2025-03-04
2053,2025-03-05
2054,2025-03-06
2055,2025-03-07
2056,2025-03-10
2057,2025-03-11
2058,2025-03-12
2059,2025-03-13
2060,2025-03-14
2061,2025-03-17
2062,2025-03-18
2063,2025-03-19
2064,2025-03-20
2065,2025-03-21
2066,2025-03-24
2067,2025-03-25
2068,2025-03-26
2069,2025-03-27
2070,2025-03-28
2071,2025-03-31
2072,2025-04-01
2073,2025-04-02
2074,2025-04-03
2075,2025-04-04
2076,2025-04-07
2077,2025-04-08
2078,2025-04-09
2079,2025-04-10
2080,2025-04-11
2081,2025-04-14
2082,2025-04-15
2083,2025-04-16
2084,2025-04-17
2085,2025-04-22
2086,2025-04-23
2087,2025-04-24
2088,2025-04-25
2089,2025-04-28
2090,2025-04-29
2091,2025-04-30
2092,2025-05-02
2093,2025-05-05
2094,2025-05-06
2095,2025-05-07
2096,2025-05-09
2097,2025-05-12
2098,2025-05-13
2099,2025-05-14
2100,2025-05-15
2101,2025-05-16
2102,2025-05-19
2103,2025-05-20
2104,2025-05-21
2105,2025-05-22
2106,2025-05-23
2107,2025-05-26
2108,2025-05-27
2109,2025-05-28
2110,2025-05-29
2111,2025-05-30
2112,2025-06-02
2113,2025-06-03
2114,2025-06-04
2115,2025-06-05
2116,2025-06-06
2117,2025-06-09
2118,2025-06-10
2119,2025-06-11
2120,2025-06-12
2121,2025-06-13
2122,2025-06-16
2123,2025-06-17
2124,2025-06-18
2125,2025-06-19
2126,2025-06-20
2127,2025-06-23
2128,2025-06-24
2129,2025-06-25
2130,2025-06-26
2131,2025-06-27
2132,2025-06-30
2133,2025-07-01
2134,2025-07-02
2135,2025-07-03
2136,2025-07-04
2137,2025-07-07
2138,2025-07-08
2139,2025-07-09
2140,2025-07-10
2141,2025-07-11
2142,2025-07-14
2143,2025-07-15
2144,2025-07-16
2145,2025-07-17
2146,2025-07-18
2147,2025-07-21
2148,2025-07-22
2149,2025-07-23
2150,2025-07-24
2151,2025-07-25
2152,2025-07-28
2153,2025-07-29
2154,2025-07-30
2155,2025-07-31
2156,2025-08-01
2157,2025-08-04
2158,2025-08-05
2159,2025-08-06
2160,2025-08-07
2161,2025-08-08
2162,2025-08-11
2163,2025-08-12
2164,2025-08-13
2165,2025-08-14
2166,2025-08-15
2167,2025-08-18
2168,2025-08-19
2169,2025-08-20
2170,2025-08-21
2171,2025-08-22
2172,2025-08-25
2173,2025-08-26
2174,2025-08-27
2175,2025-08-28
2176,2025-08-29
2177,2025-09-01
2178,2025-09-02
2179,2025-09-03
2180,2025-09-04
2181,2025-09-05
2182,2025-09-08
2183,2025-09-09
2184,2025-09-10
2185,2025-09-11
2186,2025-09-12
2187,2025-09-15
2188,2025-09-16
2189,2025-09-17
2190,2025-09-18
2191,2025-09-19
2192,2025-09-22
2193,2025-09-23
2194,2025-09-24
2195,2025-09-25
2196,2025-09-26
2197,2025-09-29
2198,2025-09-30
2199,2025-10-01
2200,2025-10-02
2201,2025-10-03
2202,2025-10-06
2203,2025-10-07
2204,2025-10-08
2205,2025-10-09
2206,2025-10-10
2207,2025-10-13
2208,2025-10-14
2209,2025-10-15
2210,2025-10-16
2211,2025-10-17
2212,2025-10-20
2213,2025-10-21
2214,2025-10-22
2215,2025-10-23
2216,2025-10-24
2217,2025-10-27
2218,2025-10-29
2219,2025-10-30
2220,2025-10-31
2221,2025-11-03
2222,2025-11-04
2223,2025-11-05
2224,2025-11-06
2225,2025-11-07
2226,2025-11-10
2227,2025-11-11
2228,2025-11-12
2229,2025-11-13
2230,2025-11-14
2231,2025-11-18
2232,2025-11-19
2233,2025-11-20
2234,2025-11-21
2235,2025-11-24
2236,2025-11-25
2237,2025-11-26
2238,2025-11-27
2239,2025-11-28
2240,2025-12-01
2241,2025-12-02
2242,2025-12-03
2243,2025-12-04
2244,2025-12-05
2245,2025-12-08
2246,2025-12-09
2247,2025-12-10
2248,2025-12-11
2249,2025-12-12
2250,2025-12-15
2251,2025-12-16
2252,2025-12-17
2253,2025-12-18
2254,2025-12-19
2255,2025-12-22
2256,2025-12-23
2257,2025-12-29
2258,2025-12-30
2259,2025-12-31
